"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
5.0,0.31,22.0,44.0,379.0,4.0,0.3,13.0,0.106,0.02,1.439,0.299,0.0
45.0,6.07,30.0,54.0,407.0,14.0,0.44,5.2,0.032,0.036,1.222,0.239,0.0
103.0,0.95,49.0,20.0,108.0,4.0,0.28,2.0,0.126,0.039,0.708,0.379,0.0
37.0,0.88,25.0,34.0,106.0,6.0,0.1,5.0,0.018,0.032,0.31,0.05,87.0
43.0,3.2,38.0,79.0,438.0,8.0,0.2,1.0,0.068,0.136,0.85,0.196,80.0
15.0,0.57,9.0,30.0,230.0,1.0,0.23,4.7,0.031,0.078,0.413,0.044,288.0
78.0,0.77,67.0,37.0,488.0,44.0,0.17,10.5,0.031,0.09,0.46,0.07,93.0
17.0,1.49,64.0,152.0,172.0,7.0,1.09,0.0,0.107,0.11,0.412,0.123,0.0
17.0,0.15,9.0,24.0,285.0,13.0,0.13,15.1,0.0,0.023,0.15,0.038,0.0
4.0,0.14,3.0,20.0,4.0,19.0,0.25,0.0,0.018,0.004,0.072,0.006,0.0
3.0,0.56,39.0,103.0,86.0,4.0,0.71,0.0,0.178,0.069,2.561,0.123,0.0
10.0,0.53,44.0,77.0,79.0,1.0,0.62,0.0,0.102,0.012,1.33,0.149,0.0
3.0,0.53,39.0,96.0,61.0,4.0,0.77,0.0,0.097,0.07,1.903,0.11,0.0
18.0,0.18,10.0,41.0,216.0,5.0,0.12,18.8,0.082,0.041,0.715,0.102,0.0
47.0,0.55,18.0,56.0,283.0,16.0,0.3,4.6,0.056,0.173,0.392,0.218,0.0
61.0,0.6,50.0,124.0,875.0,23.0,0.83,6.1,0.29,0.17,5.3,0.298,12.0
22.0,0.56,12.0,21.0,107.0,11.0,0.0,37.0,0.048,0.043,0.25,0.0,0.0
145.0,2.5,60.0,158.0,539.0,14.0,0.91,17.0,0.26,0.155,1.25,0.06,8.0
102.0,5.14,86.0,245.0,515.0,1.0,1.15,1.7,0.155,0.285,0.399,0.234,0.0
59.0,1.31,60.0,135.0,355.0,10.0,1.04,8.3,0.205,0.053,1.092,0.105,2.0
10.0,0.72,30.0,50.0,42.0,5.0,0.5,0.0,0.298,0.161,1.837,0.064,0.0
30.0,1.04,62.0,108.0,58.0,14.0,1.08,0.0,0.097,0.103,1.53,0.096,8.0
10.0,1.67,49.0,150.0,143.0,5.0,1.25,0.0,0.103,0.03,2.57,0.08,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.015,0.102,0.033,0.0
27.0,0.36,24.0,39.0,192.0,1.0,0.39,5.5,0.044,0.041,0.513,0.065,11.0
